"Name","crossover_freq","crossover","_wandb","average_complexity"
"crossover: twopoint","0.8","twopoint","","5.9219970703125"
"crossover: twopoint","0.8","twopoint","","5.0469970703125"
"crossover: uniform","0.8","uniform","","4"
"crossover: uniform","0.8","uniform","","5.86700439453125"
"crossover: twopoint","0.3","twopoint","","2.9980010986328125"
"crossover: uniform","0.8","uniform","","3.3809967041015625"
"crossover: twopoint","0.3","twopoint","","3.0160064697265625"
"crossover: twopoint","0.8","twopoint","","3.975006103515625"
"crossover: twopoint","0.8","twopoint","","3"
"crossover: uniform","0.3","uniform","","3.001007080078125"
"crossover: twopoint","0.3","twopoint","","3"
"crossover: uniform","0.3","uniform","","4.9739990234375"
"crossover: uniform","0.3","uniform","","3.998992919921875"
"crossover: twopoint","0.3","twopoint","","3.0050048828125"
"crossover: twopoint","0.3","twopoint","","2.98199462890625"
"crossover: NO","0.5","NO","","2.9709930419921875"
"crossover: twopoint","0.8","twopoint","","2.6439971923828125"
"crossover: NO","0.5","NO","","2.0630035400390625"
"crossover: uniform","0.8","uniform","","3.3040008544921875"
"crossover: uniform","0.3","uniform","","2.9600067138671875"
"crossover: uniform","0.8","uniform","","3.3159942626953125"
"crossover: NO","0.5","NO","","3"
"crossover: uniform","0.3","uniform","","125.71500015258788"
"crossover: NO","0.5","NO","","2"
"crossover: NO","0.5","NO","","2.001007080078125"
